Send,Receive,diff,Diff 2,time error
2018-10-02T17:02:26.001,2018-10-02T17:02:26.273,0.272,0.272,-0.094 -0.081
2018-10-02T17:02:27.027,2018-10-02T17:02:27.243,0.216,0.216,-0.094 -0.081
2018-10-02T17:02:28.051,2018-10-02T17:02:28.841,0.79,0.79,-0.094 -0.081
2018-10-02T17:02:29.079,2018-10-02T17:02:29.222,0.143,0.143,-0.094 -0.081
2018-10-02T17:02:30.104,2018-10-02T17:02:30.286,0.182,0.182,-0.094 -0.081
2018-10-02T17:02:31.129,2018-10-02T17:02:31.392,0.263,0.263,-0.094 -0.081
2018-10-02T17:02:32.155,2018-10-02T17:02:32.351,0.196,0.196,-0.094 -0.081
2018-10-02T17:02:33.191,2018-10-02T17:02:33.348,0.157,0.157,-0.094 -0.081
2018-10-02T17:02:34.216,2018-10-02T17:02:34.617,0.401,0.401,-0.094 -0.081
2018-10-02T17:02:35.244,2018-10-02T17:02:35.898,0.654,0.654,-0.094 -0.081
2018-10-02T17:02:36.272,2018-10-02T17:02:36.525,0.253,0.253,-0.094 -0.081
2018-10-02T17:02:37.301,2018-10-02T17:02:37.470,0.169,0.169,-0.094 -0.081
2018-10-02T17:02:38.330,2018-10-02T17:02:38.787,0.457,0.457,-0.094 -0.081
2018-10-02T17:02:39.360,2018-10-02T17:02:39.501,0.141,0.141,-0.094 -0.081
2018-10-02T17:02:40.390,2018-10-02T17:02:40.677,0.287,0.287,-0.094 -0.081
2018-10-02T17:02:41.446,2018-10-02T17:02:41.970,0.524,0.524,-0.094 -0.081
2018-10-02T17:02:42.492,2018-10-02T17:02:42.609,0.117,0.117,-0.094 -0.081
2018-10-02T17:02:43.517,2018-10-02T17:02:43.900,0.383,0.383,-0.094 -0.081
2018-10-02T17:02:44.545,2018-10-02T17:02:44.831,0.286,0.286,-0.094 -0.081
2018-10-02T17:02:45.569,2018-10-02T17:02:45.804,0.235,0.235,-0.094 -0.081
2018-10-02T17:02:46.595,2018-10-02T17:02:46.752,0.157,0.157,-0.094 -0.081
2018-10-02T17:02:47.619,2018-10-02T17:02:47.733,0.114,0.114,-0.094 -0.081
2018-10-02T17:02:48.646,2018-10-02T17:02:49.003,0.357,0.357,-0.094 -0.081
2018-10-02T17:02:49.670,2018-10-02T17:02:49.969,0.299,0.299,-0.094 -0.081
2018-10-02T17:02:50.695,2018-10-02T17:02:50.922,0.227,0.227,-0.094 -0.081
2018-10-02T17:02:51.722,2018-10-02T17:02:51.894,0.172,0.172,-0.094 -0.081
2018-10-02T17:02:52.746,2018-10-02T17:02:53.156,0.41,0.41,-0.094 -0.081
2018-10-02T17:02:53.782,2018-10-02T17:02:54.141,0.359,0.359,-0.094 -0.081
2018-10-02T17:02:54.810,2018-10-02T17:02:55.080,0.27,0.27,-0.094 -0.081
2018-10-02T17:02:55.847,2018-10-02T17:02:56.063,0.216,0.216,-0.094 -0.081
2018-10-02T17:02:56.871,2018-10-02T17:02:57.324,0.453,0.453,-0.094 -0.081
2018-10-02T17:02:57.900,2018-10-02T17:02:58.061,0.161,0.161,-0.094 -0.081
2018-10-02T17:02:58.924,2018-10-02T17:02:59.239,0.315,0.315,-0.094 -0.081
2018-10-02T17:02:59.958,2018-10-02T17:03:00.209,0.251,0.251,-0.094 -0.081
2018-10-02T17:03:00.982,2018-10-02T17:03:01.148,0.166,0.166,-0.094 -0.081
2018-10-02T17:03:02.008,2018-10-02T17:03:02.136,0.128,0.128,-0.094 -0.081
2018-10-02T17:03:03.031,2018-10-02T17:03:03.416,0.385,0.385,-0.094 -0.081
2018-10-02T17:03:04.059,2018-10-02T17:03:04.389,0.33,0.33,-0.094 -0.081
2018-10-02T17:03:05.086,2018-10-02T17:03:05.316,0.23,0.23,-0.094 -0.081
2018-10-02T17:03:06.113,2018-10-02T17:03:06.299,0.186,0.186,-0.094 -0.081
2018-10-02T17:03:07.149,2018-10-02T17:03:07.556,0.407,0.407,-0.094 -0.081
2018-10-02T17:03:08.174,2018-10-02T17:03:08.521,0.347,0.347,-0.094 -0.081
2018-10-02T17:03:09.199,2018-10-02T17:03:09.503,0.304,0.304,-0.094 -0.081
2018-10-02T17:03:10.225,2018-10-02T17:03:10.440,0.215,0.215,-0.094 -0.081
2018-10-02T17:03:11.249,2018-10-02T17:03:11.397,0.148,0.148,-0.094 -0.081
2018-10-02T17:03:12.276,2018-10-02T17:03:12.690,0.414,0.414,-0.094 -0.081
2018-10-02T17:03:13.303,2018-10-02T17:03:13.630,0.327,0.327,-0.094 -0.081
2018-10-02T17:03:14.328,2018-10-02T17:03:14.614,0.286,0.286,-0.094 -0.081
2018-10-02T17:03:15.354,2018-10-02T17:03:15.557,0.203,0.203,-0.094 -0.081
2018-10-02T17:03:16.378,2018-10-02T17:03:16.529,0.151,0.151,-0.094 -0.081
2018-10-02T17:03:17.401,2018-10-02T17:03:17.817,0.416,0.416,-0.094 -0.081
2018-10-02T17:03:18.427,2018-10-02T17:03:18.776,0.349,0.349,-0.094 -0.081
2018-10-02T17:03:19.452,2018-10-02T17:03:19.717,0.265,0.265,-0.094 -0.081
2018-10-02T17:03:20.497,2018-10-02T17:03:20.675,0.178,0.178,-0.094 -0.081
2018-10-02T17:03:21.522,2018-10-02T17:03:21.660,0.138,0.138,-0.094 -0.081
2018-10-02T17:03:22.552,2018-10-02T17:03:23.255,0.703,0.703,-0.094 -0.081
2018-10-02T17:03:23.577,2018-10-02T17:03:23.717,0.14,0.14,-0.094 -0.081
2018-10-02T17:03:24.611,2018-10-02T17:03:24.845,0.234,0.234,-0.094 -0.081
2018-10-02T17:03:25.648,2018-10-02T17:03:25.792,0.144,0.144,-0.094 -0.081
2018-10-02T17:03:26.676,2018-10-02T17:03:27.071,0.395,0.395,-0.094 -0.081
2018-10-02T17:03:27.703,2018-10-02T17:03:28.039,0.336,0.336,-0.094 -0.081
2018-10-02T17:03:28.743,2018-10-02T17:03:29.013,0.27,0.27,-0.094 -0.081
2018-10-02T17:03:29.771,2018-10-02T17:03:29.961,0.19,0.19,-0.094 -0.081
2018-10-02T17:03:30.795,2018-10-02T17:03:30.932,0.137,0.137,-0.094 -0.081
2018-10-02T17:03:31.818,2018-10-02T17:03:32.199,0.381,0.381,-0.094 -0.081
2018-10-02T17:03:32.843,2018-10-02T17:03:33.031,0.188,0.188,-0.094 -0.081
2018-10-02T17:03:33.869,2018-10-02T17:03:34.115,0.246,0.246,-0.094 -0.081
2018-10-02T17:03:34.895,2018-10-02T17:03:35.085,0.19,0.19,-0.094 -0.081
2018-10-02T17:03:35.920,2018-10-02T17:03:36.371,0.451,0.451,-0.094 -0.081
2018-10-02T17:03:36.952,2018-10-02T17:03:37.085,0.133,0.133,-0.094 -0.081
2018-10-02T17:03:37.993,2018-10-02T17:03:38.281,0.288,0.288,-0.094 -0.081
2018-10-02T17:03:39.016,2018-10-02T17:03:39.267,0.251,0.251,-0.094 -0.081
2018-10-02T17:03:40.039,2018-10-02T17:03:40.198,0.159,0.159,-0.094 -0.081
2018-10-02T17:03:41.069,2018-10-02T17:03:41.662,0.593,0.593,-0.094 -0.081
2018-10-02T17:03:42.099,2018-10-02T17:03:42.449,0.35,0.35,-0.094 -0.081
2018-10-02T17:03:43.125,2018-10-02T17:03:43.759,0.634,0.634,-0.094 -0.081
2018-10-02T17:03:44.147,2018-10-02T17:03:44.280,0.133,0.133,-0.094 -0.081
2018-10-02T17:03:45.172,2018-10-02T17:03:45.315,0.143,0.143,-0.094 -0.081
2018-10-02T17:03:46.205,2018-10-02T17:03:46.609,0.404,0.404,-0.094 -0.081
2018-10-02T17:03:47.230,2018-10-02T17:03:47.563,0.333,0.333,-0.094 -0.081
2018-10-02T17:03:48.257,2018-10-02T17:03:48.511,0.254,0.254,-0.094 -0.081
2018-10-02T17:03:49.292,2018-10-02T17:03:49.806,0.514,0.514,-0.094 -0.081
2018-10-02T17:03:50.316,2018-10-02T17:03:50.438,0.122,0.122,-0.094 -0.081
2018-10-02T17:03:51.340,2018-10-02T17:03:51.727,0.387,0.387,-0.094 -0.081
2018-10-02T17:03:52.366,2018-10-02T17:03:52.675,0.309,0.309,-0.094 -0.081
2018-10-02T17:03:53.407,2018-10-02T17:03:53.640,0.233,0.233,-0.094 -0.081
2018-10-02T17:03:54.433,2018-10-02T17:03:54.590,0.157,0.157,-0.094 -0.081
2018-10-02T17:03:55.458,2018-10-02T17:03:55.887,0.429,0.429,-0.094 -0.081
2018-10-02T17:03:56.489,2018-10-02T17:03:56.831,0.342,0.342,-0.094 -0.081
2018-10-02T17:03:57.514,2018-10-02T17:03:57.803,0.289,0.289,-0.094 -0.081
2018-10-02T17:03:58.542,2018-10-02T17:03:58.763,0.221,0.221,-0.094 -0.081
2018-10-02T17:03:59.570,2018-10-02T17:03:59.741,0.171,0.171,-0.094 -0.081
2018-10-02T17:04:00.593,2018-10-02T17:04:00.998,0.405,0.405,-0.094 -0.081
2018-10-02T17:04:01.617,2018-10-02T17:04:01.956,0.339,0.339,-0.094 -0.081
2018-10-02T17:04:02.643,2018-10-02T17:04:02.926,0.283,0.283,-0.094 -0.081
2018-10-02T17:04:03.666,2018-10-02T17:04:03.890,0.224,0.224,-0.094 -0.081
2018-10-02T17:04:04.690,2018-10-02T17:04:04.821,0.131,0.131,-0.094 -0.081
2018-10-02T17:04:05.726,2018-10-02T17:04:06.142,0.416,0.416,-0.094 -0.081
2018-10-02T17:04:06.765,2018-10-02T17:04:07.070,0.305,0.305,-0.094 -0.081
2018-10-02T17:04:07.793,2018-10-02T17:04:08.042,0.249,0.249,-0.094 -0.081
2018-10-02T17:04:08.828,2018-10-02T17:04:09.001,0.173,0.173,-0.094 -0.081
2018-10-02T17:04:09.854,2018-10-02T17:04:10.293,0.439,0.439,-0.094 -0.081
2018-10-02T17:04:10.878,2018-10-02T17:04:11.223,0.345,0.345,-0.094 -0.081
2018-10-02T17:04:11.903,2018-10-02T17:04:12.209,0.306,0.306,-0.094 -0.081
2018-10-02T17:04:12.926,2018-10-02T17:04:13.155,0.229,0.229,-0.094 -0.081
2018-10-02T17:04:13.953,2018-10-02T17:04:14.136,0.183,0.183,-0.094 -0.081
2018-10-02T17:04:14.976,2018-10-02T17:04:15.389,0.413,0.413,-0.094 -0.081
2018-10-02T17:04:16.001,2018-10-02T17:04:16.350,0.349,0.349,-0.094 -0.081
2018-10-02T17:04:17.043,2018-10-02T17:04:17.316,0.273,0.273,-0.094 -0.081
2018-10-02T17:04:18.067,2018-10-02T17:04:18.285,0.218,0.218,-0.094 -0.081
2018-10-02T17:04:19.092,2018-10-02T17:04:19.568,0.476,0.476,-0.094 -0.081
2018-10-02T17:04:20.125,2018-10-02T17:04:20.288,0.163,0.163,-0.094 -0.081
2018-10-02T17:04:21.151,2018-10-02T17:04:21.482,0.331,0.331,-0.094 -0.081
2018-10-02T17:04:22.181,2018-10-02T17:04:22.770,0.589,0.589,-0.094 -0.081
2018-10-02T17:04:23.217,2018-10-02T17:04:23.377,0.16,0.16,-0.094 -0.081
2018-10-02T17:04:24.269,2018-10-02T17:04:24.687,0.418,0.418,-0.094 -0.081
2018-10-02T17:04:25.292,2018-10-02T17:04:25.624,0.332,0.332,-0.094 -0.081
2018-10-02T17:04:26.315,2018-10-02T17:04:26.602,0.287,0.287,-0.094 -0.081
2018-10-02T17:04:27.338,2018-10-02T17:04:27.545,0.207,0.207,-0.094 -0.081
2018-10-02T17:04:28.363,2018-10-02T17:04:28.521,0.158,0.158,-0.094 -0.081
2018-10-02T17:04:29.389,2018-10-02T17:04:29.775,0.386,0.386,-0.094 -0.081
2018-10-02T17:04:30.415,2018-10-02T17:04:30.764,0.349,0.349,-0.094 -0.081
2018-10-02T17:04:31.438,2018-10-02T17:04:31.709,0.271,0.271,-0.094 -0.081
2018-10-02T17:04:32.462,2018-10-02T17:04:33.009,0.547,0.547,-0.094 -0.081
2018-10-02T17:04:33.496,2018-10-02T17:04:33.620,0.124,0.124,-0.094 -0.081
2018-10-02T17:04:34.523,2018-10-02T17:04:34.924,0.401,0.401,-0.094 -0.081
2018-10-02T17:04:35.551,2018-10-02T17:04:35.879,0.328,0.328,-0.094 -0.081
2018-10-02T17:04:36.577,2018-10-02T17:04:36.844,0.267,0.267,-0.094 -0.081
2018-10-02T17:04:37.605,2018-10-02T17:04:37.790,0.185,0.185,-0.094 -0.081
2018-10-02T17:04:38.638,2018-10-02T17:04:38.765,0.127,0.127,-0.094 -0.081
2018-10-02T17:04:39.663,2018-10-02T17:04:40.035,0.372,0.372,-0.094 -0.081
2018-10-02T17:04:40.687,2018-10-02T17:04:41.018,0.331,0.331,-0.094 -0.081
2018-10-02T17:04:41.712,2018-10-02T17:04:41.961,0.249,0.249,-0.094 -0.081
2018-10-02T17:04:42.738,2018-10-02T17:04:42.924,0.186,0.186,-0.094 -0.081
2018-10-02T17:04:43.762,2018-10-02T17:04:44.536,0.774,0.774,-0.094 -0.081
2018-10-02T17:04:44.788,2018-10-02T17:04:44.909,0.121,0.121,-0.094 -0.081
2018-10-02T17:04:45.818,2018-10-02T17:04:46.125,0.307,0.307,-0.094 -0.081
2018-10-02T17:04:46.845,2018-10-02T17:04:47.072,0.227,0.227,-0.094 -0.081
2018-10-02T17:04:47.869,2018-10-02T17:04:48.029,0.16,0.16,-0.094 -0.081
2018-10-02T17:04:48.893,2018-10-02T17:04:49.341,0.448,0.448,-0.094 -0.081
2018-10-02T17:04:49.919,2018-10-02T17:04:50.290,0.371,0.371,-0.094 -0.081
2018-10-02T17:04:50.959,2018-10-02T17:04:51.569,0.61,0.61,-0.094 -0.081
2018-10-02T17:04:51.991,2018-10-02T17:04:52.199,0.208,0.208,-0.094 -0.081
2018-10-02T17:04:53.016,2018-10-02T17:04:53.161,0.145,0.145,-0.094 -0.081
2018-10-02T17:04:54.044,2018-10-02T17:04:54.428,0.384,0.384,-0.094 -0.081
2018-10-02T17:04:55.067,2018-10-02T17:04:55.248,0.181,0.181,-0.094 -0.081
2018-10-02T17:04:56.093,2018-10-02T17:04:56.355,0.262,0.262,-0.094 -0.081
2018-10-02T17:04:57.117,2018-10-02T17:04:57.317,0.2,0.2,-0.094 -0.081
2018-10-02T17:04:58.143,2018-10-02T17:04:58.603,0.46,0.46,-0.094 -0.081
2018-10-02T17:04:59.172,2018-10-02T17:04:59.593,0.421,0.421,-0.094 -0.081
2018-10-02T17:05:00.198,2018-10-02T17:05:00.502,0.304,0.304,-0.094 -0.081
2018-10-02T17:05:01.234,2018-10-02T17:05:01.487,0.253,0.253,-0.094 -0.081
2018-10-02T17:05:02.262,2018-10-02T17:05:02.429,0.167,0.167,-0.094 -0.081
2018-10-02T17:05:03.304,2018-10-02T17:05:03.737,0.433,0.433,-0.094 -0.081
2018-10-02T17:05:04.328,2018-10-02T17:05:04.662,0.334,0.334,-0.094 -0.081
2018-10-02T17:05:05.355,2018-10-02T17:05:05.968,0.613,0.613,-0.094 -0.081
2018-10-02T17:05:06.379,2018-10-02T17:05:06.583,0.204,0.204,-0.094 -0.081
2018-10-02T17:05:07.405,2018-10-02T17:05:07.556,0.151,0.151,-0.094 -0.081
2018-10-02T17:05:08.446,2018-10-02T17:05:08.847,0.401,0.401,-0.094 -0.081
2018-10-02T17:05:09.471,2018-10-02T17:05:09.802,0.331,0.331,-0.094 -0.081
2018-10-02T17:05:10.494,2018-10-02T17:05:10.755,0.261,0.261,-0.094 -0.081
2018-10-02T17:05:11.524,2018-10-02T17:05:11.738,0.214,0.214,-0.094 -0.081
2018-10-02T17:05:12.553,2018-10-02T17:05:12.997,0.444,0.444,-0.094 -0.081
2018-10-02T17:05:13.580,2018-10-02T17:05:13.967,0.387,0.387,-0.094 -0.081
2018-10-02T17:05:14.606,2018-10-02T17:05:14.904,0.298,0.298,-0.094 -0.081
2018-10-02T17:05:15.645,2018-10-02T17:05:15.888,0.243,0.243,-0.094 -0.081
2018-10-02T17:05:16.677,2018-10-02T17:05:16.821,0.144,0.144,-0.094 -0.081
2018-10-02T17:05:17.721,2018-10-02T17:05:18.137,0.416,0.416,-0.094 -0.081
2018-10-02T17:05:18.755,2018-10-02T17:05:19.059,0.304,0.304,-0.094 -0.081
2018-10-02T17:05:19.780,2018-10-02T17:05:20.040,0.26,0.26,-0.094 -0.081
2018-10-02T17:05:20.805,2018-10-02T17:05:20.989,0.184,0.184,-0.094 -0.081
2018-10-02T17:05:21.830,2018-10-02T17:05:21.966,0.136,0.136,-0.094 -0.081
2018-10-02T17:05:22.855,2018-10-02T17:05:23.244,0.389,0.389,-0.094 -0.081
2018-10-02T17:05:23.881,2018-10-02T17:05:24.188,0.307,0.307,-0.094 -0.081
2018-10-02T17:05:24.928,2018-10-02T17:05:25.480,0.552,0.552,-0.094 -0.081
2018-10-02T17:05:25.967,2018-10-02T17:05:26.080,0.113,0.113,-0.094 -0.081
2018-10-02T17:05:26.993,2018-10-02T17:05:27.710,0.717,0.717,-0.094 -0.081
2018-10-02T17:05:28.020,2018-10-02T17:05:28.162,0.142,0.142,-0.094 -0.081
2018-10-02T17:05:29.046,2018-10-02T17:05:29.321,0.275,0.275,-0.094 -0.081
2018-10-02T17:05:30.072,2018-10-02T17:05:30.295,0.223,0.223,-0.094 -0.081
2018-10-02T17:05:31.108,2018-10-02T17:05:31.231,0.123,0.123,-0.094 -0.081
2018-10-02T17:05:32.133,2018-10-02T17:05:32.559,0.426,0.426,-0.094 -0.081
2018-10-02T17:05:33.161,2018-10-02T17:05:33.463,0.302,0.302,-0.094 -0.081
2018-10-02T17:05:34.187,2018-10-02T17:05:34.447,0.26,0.26,-0.094 -0.081
2018-10-02T17:05:35.211,2018-10-02T17:05:35.389,0.178,0.178,-0.094 -0.081
2018-10-02T17:05:36.236,2018-10-02T17:05:36.680,0.444,0.444,-0.094 -0.081
2018-10-02T17:05:37.260,2018-10-02T17:05:37.630,0.37,0.37,-0.094 -0.081
2018-10-02T17:05:38.286,2018-10-02T17:05:38.599,0.313,0.313,-0.094 -0.081
2018-10-02T17:05:39.317,2018-10-02T17:05:39.559,0.242,0.242,-0.094 -0.081
2018-10-02T17:05:40.342,2018-10-02T17:05:40.537,0.195,0.195,-0.094 -0.081
2018-10-02T17:05:41.371,2018-10-02T17:05:41.817,0.446,0.446,-0.094 -0.081
2018-10-02T17:05:42.396,2018-10-02T17:05:42.535,0.139,0.139,-0.094 -0.081
2018-10-02T17:05:43.423,2018-10-02T17:05:43.715,0.292,0.292,-0.094 -0.081
2018-10-02T17:05:44.449,2018-10-02T17:05:44.671,0.222,0.222,-0.094 -0.081
2018-10-02T17:05:45.472,2018-10-02T17:05:45.640,0.168,0.168,-0.094 -0.081
2018-10-02T17:05:46.498,2018-10-02T17:05:46.929,0.431,0.431,-0.094 -0.081
2018-10-02T17:05:47.520,2018-10-02T17:05:47.890,0.37,0.37,-0.094 -0.081
2018-10-02T17:05:48.543,2018-10-02T17:05:48.838,0.295,0.295,-0.094 -0.081
2018-10-02T17:05:49.567,2018-10-02T17:05:49.779,0.212,0.212,-0.094 -0.081
2018-10-02T17:05:50.603,2018-10-02T17:05:50.768,0.165,0.165,-0.094 -0.081
2018-10-02T17:05:51.626,2018-10-02T17:05:52.041,0.415,0.415,-0.094 -0.081
2018-10-02T17:05:52.654,2018-10-02T17:05:53.006,0.352,0.352,-0.094 -0.081
2018-10-02T17:05:53.682,2018-10-02T17:05:53.973,0.291,0.291,-0.094 -0.081
2018-10-02T17:05:54.711,2018-10-02T17:05:54.942,0.231,0.231,-0.094 -0.081
2018-10-02T17:05:55.738,2018-10-02T17:05:55.894,0.156,0.156,-0.094 -0.081
2018-10-02T17:05:56.764,2018-10-02T17:05:57.151,0.387,0.387,-0.094 -0.081
2018-10-02T17:05:57.788,2018-10-02T17:05:58.116,0.328,0.328,-0.094 -0.081
2018-10-02T17:05:58.813,2018-10-02T17:05:59.076,0.263,0.263,-0.094 -0.081
2018-10-02T17:05:59.840,2018-10-02T17:06:00.027,0.187,0.187,-0.094 -0.081
2018-10-02T17:06:00.864,2018-10-02T17:06:01.021,0.157,0.157,-0.094 -0.081
2018-10-02T17:06:01.893,2018-10-02T17:06:02.924,1.031,1.031,-0.094 -0.081
2018-10-02T17:06:02.918,2018-10-02T17:06:03.662,0.744,0.744,-0.094 -0.081
2018-10-02T17:06:03.943,2018-10-02T17:06:04.260,0.317,0.317,-0.094 -0.081
2018-10-02T17:06:04.971,2018-10-02T17:06:05.178,0.207,0.207,-0.094 -0.081
2018-10-02T17:06:05.996,2018-10-02T17:06:06.440,0.444,0.444,-0.094 -0.081
2018-10-02T17:06:07.047,2018-10-02T17:06:07.167,0.12,0.12,-0.094 -0.081
2018-10-02T17:06:08.076,2018-10-02T17:06:08.678,0.602,0.602,-0.094 -0.081
2018-10-02T17:06:09.106,2018-10-02T17:06:09.250,0.144,0.144,-0.094 -0.081
2018-10-02T17:06:10.133,2018-10-02T17:06:10.608,0.475,0.475,-0.094 -0.081
2018-10-02T17:06:11.159,2018-10-02T17:06:11.339,0.18,0.18,-0.094 -0.081
2018-10-02T17:06:12.182,2018-10-02T17:06:12.838,0.656,0.656,-0.094 -0.081
2018-10-02T17:06:13.208,2018-10-02T17:06:13.324,0.116,0.116,-0.094 -0.081
2018-10-02T17:06:14.235,2018-10-02T17:06:14.436,0.201,0.201,-0.094 -0.081
2018-10-02T17:06:15.260,2018-10-02T17:06:15.418,0.158,0.158,-0.094 -0.081
2018-10-02T17:06:16.287,2018-10-02T17:06:16.687,0.4,0.4,-0.094 -0.081
2018-10-02T17:06:17.314,2018-10-02T17:06:17.639,0.325,0.325,-0.094 -0.081
2018-10-02T17:06:18.344,2018-10-02T17:06:18.597,0.253,0.253,-0.094 -0.081
2018-10-02T17:06:19.369,2018-10-02T17:06:19.550,0.181,0.181,-0.094 -0.081
2018-10-02T17:06:20.401,2018-10-02T17:06:20.537,0.136,0.136,-0.094 -0.081
2018-10-02T17:06:21.426,2018-10-02T17:06:21.799,0.373,0.373,-0.094 -0.081
2018-10-02T17:06:22.456,2018-10-02T17:06:22.755,0.299,0.299,-0.094 -0.081
2018-10-02T17:06:23.483,2018-10-02T17:06:23.717,0.234,0.234,-0.094 -0.081
2018-10-02T17:06:24.540,2018-10-02T17:06:24.689,0.149,0.149,-0.094 -0.081
2018-10-02T17:06:25.571,2018-10-02T17:06:26.009,0.438,0.438,-0.094 -0.081
2018-10-02T17:06:26.598,2018-10-02T17:06:26.920,0.322,0.322,-0.094 -0.081
2018-10-02T17:06:27.624,2018-10-02T17:06:27.875,0.251,0.251,-0.094 -0.081
2018-10-02T17:06:28.660,2018-10-02T17:06:28.835,0.175,0.175,-0.094 -0.081
2018-10-02T17:06:29.705,2018-10-02T17:06:30.133,0.428,0.428,-0.094 -0.081
2018-10-02T17:06:30.733,2018-10-02T17:06:31.065,0.332,0.332,-0.094 -0.081
2018-10-02T17:06:31.761,2018-10-02T17:06:32.049,0.288,0.288,-0.094 -0.081
2018-10-02T17:06:32.791,2018-10-02T17:06:33.008,0.217,0.217,-0.094 -0.081
2018-10-02T17:06:33.822,2018-10-02T17:06:33.977,0.155,0.155,-0.094 -0.081
2018-10-02T17:06:34.905,2018-10-02T17:06:35.242,0.337,0.337,-0.094 -0.081
2018-10-02T17:06:35.943,2018-10-02T17:06:36.203,0.26,0.26,-0.094 -0.081
2018-10-02T17:06:36.985,2018-10-02T17:06:37.152,0.167,0.167,-0.094 -0.081
2018-10-02T17:06:38.025,2018-10-02T17:06:38.451,0.426,0.426,-0.094 -0.081
2018-10-02T17:06:39.052,2018-10-02T17:06:39.408,0.356,0.356,-0.094 -0.081
2018-10-02T17:06:40.082,2018-10-02T17:06:40.365,0.283,0.283,-0.094 -0.081
2018-10-02T17:06:41.108,2018-10-02T17:06:41.333,0.225,0.225,-0.094 -0.081
2018-10-02T17:06:42.148,2018-10-02T17:06:42.289,0.141,0.141,-0.094 -0.081
2018-10-02T17:06:43.176,2018-10-02T17:06:43.558,0.382,0.382,-0.094 -0.081
2018-10-02T17:06:44.203,2018-10-02T17:06:44.518,0.315,0.315,-0.094 -0.081
2018-10-02T17:06:45.231,2018-10-02T17:06:45.476,0.245,0.245,-0.094 -0.081
2018-10-02T17:06:46.260,2018-10-02T17:06:46.460,0.2,0.2,-0.094 -0.081
2018-10-02T17:06:47.290,2018-10-02T17:06:47.729,0.439,0.439,-0.094 -0.081
2018-10-02T17:06:48.316,2018-10-02T17:06:48.687,0.371,0.371,-0.094 -0.081
2018-10-02T17:06:49.343,2018-10-02T17:06:49.649,0.306,0.306,-0.094 -0.081
2018-10-02T17:06:50.368,2018-10-02T17:06:50.619,0.251,0.251,-0.094 -0.081
2018-10-02T17:06:51.399,2018-10-02T17:06:51.869,0.47,0.47,-0.094 -0.081
2018-10-02T17:06:52.427,2018-10-02T17:06:52.849,0.422,0.422,-0.094 -0.081
2018-10-02T17:06:53.464,2018-10-02T17:06:53.799,0.335,0.335,-0.094 -0.081
2018-10-02T17:06:54.491,2018-10-02T17:06:54.758,0.267,0.267,-0.094 -0.081
2018-10-02T17:06:55.520,2018-10-02T17:06:55.715,0.195,0.195,-0.094 -0.081
2018-10-02T17:06:56.556,2018-10-02T17:06:56.691,0.135,0.135,-0.094 -0.081
2018-10-02T17:06:57.593,2018-10-02T17:06:57.959,0.366,0.366,-0.094 -0.081
2018-10-02T17:06:58.619,2018-10-02T17:06:58.929,0.31,0.31,-0.094 -0.081
2018-10-02T17:06:59.660,2018-10-02T17:06:59.865,0.205,0.205,-0.094 -0.081
2018-10-02T17:07:00.687,2018-10-02T17:07:00.856,0.169,0.169,-0.094 -0.081
2018-10-02T17:07:01.731,2018-10-02T17:07:02.137,0.406,0.406,-0.094 -0.081
2018-10-02T17:07:02.837,2018-10-02T17:07:03.096,0.259,0.259,-0.094 -0.081
2018-10-02T17:07:03.872,2018-10-02T17:07:04.366,0.494,0.494,-0.094 -0.081
2018-10-02T17:07:04.910,2018-10-02T17:07:05.670,0.76,0.76,-0.094 -0.081
2018-10-02T17:07:05.941,2018-10-02T17:07:06.052,0.111,0.111,-0.094 -0.081
2018-10-02T17:07:06.978,2018-10-02T17:07:07.250,0.272,0.272,-0.094 -0.081
2018-10-02T17:07:08.018,2018-10-02T17:07:08.194,0.176,0.176,-0.094 -0.081
2018-10-02T17:07:09.062,2018-10-02T17:07:09.494,0.432,0.432,-0.094 -0.081
2018-10-02T17:07:10.099,2018-10-02T17:07:10.438,0.339,0.339,-0.094 -0.081
2018-10-02T17:07:11.132,2018-10-02T17:07:11.408,0.276,0.276,-0.094 -0.081
2018-10-02T17:07:12.159,2018-10-02T17:07:12.362,0.203,0.203,-0.094 -0.081
2018-10-02T17:07:13.189,2018-10-02T17:07:13.347,0.158,0.158,-0.094 -0.081
2018-10-02T17:07:14.220,2018-10-02T17:07:14.611,0.391,0.391,-0.094 -0.081
2018-10-02T17:07:15.251,2018-10-02T17:07:15.578,0.327,0.327,-0.094 -0.081
2018-10-02T17:07:16.276,2018-10-02T17:07:16.525,0.249,0.249,-0.094 -0.081
2018-10-02T17:07:17.303,2018-10-02T17:07:17.497,0.194,0.194,-0.094 -0.081
2018-10-02T17:07:18.341,2018-10-02T17:07:18.769,0.428,0.428,-0.094 -0.081
2018-10-02T17:07:19.378,2018-10-02T17:07:19.730,0.352,0.352,-0.094 -0.081
2018-10-02T17:07:20.408,2018-10-02T17:07:20.677,0.269,0.269,-0.094 -0.081
2018-10-02T17:07:21.443,2018-10-02T17:07:21.652,0.209,0.209,-0.094 -0.081
2018-10-02T17:07:22.480,2018-10-02T17:07:22.606,0.126,0.126,-0.094 -0.081
2018-10-02T17:07:23.505,2018-10-02T17:07:23.899,0.394,0.394,-0.094 -0.081
2018-10-02T17:07:24.530,2018-10-02T17:07:25.156,0.626,0.626,-0.094 -0.081
